Date;MSCI
09/02/2017;90.33
10/02/2017;91.22
13/02/2017;92.79
14/02/2017;93.95
15/02/2017;94.58
16/02/2017;94.2
17/02/2017;94.27
20/02/2017;#N/A N/A
21/02/2017;94.52
22/02/2017;94.95
23/02/2017;94.99
24/02/2017;95.54
27/02/2017;95.53
28/02/2017;94.59
01/03/2017;95.88
02/03/2017;94.95
03/03/2017;95.44
06/03/2017;94.75
07/03/2017;95.45
08/03/2017;94.46
09/03/2017;94.44
10/03/2017;94.87
13/03/2017;95.3
14/03/2017;96.33
15/03/2017;99.31
16/03/2017;97.67
17/03/2017;97.33
20/03/2017;97.42
21/03/2017;95.55
22/03/2017;96.11
23/03/2017;97.12
24/03/2017;97.44
27/03/2017;96.62
28/03/2017;96.61
29/03/2017;96.4
30/03/2017;96.71
31/03/2017;97.19
03/04/2017;96.76
04/04/2017;96.59
05/04/2017;97.85
06/04/2017;97.79
07/04/2017;97.93
10/04/2017;97.25
11/04/2017;97.5
12/04/2017;97.31
13/04/2017;96.26
14/04/2017;#N/A N/A
17/04/2017;97.99
18/04/2017;97.7
19/04/2017;98.15
20/04/2017;98.73
21/04/2017;98.03
24/04/2017;98.66
25/04/2017;99.45
26/04/2017;99.62
27/04/2017;100.4
28/04/2017;100.32
01/05/2017;100.63
02/05/2017;101.94
03/05/2017;101.41
04/05/2017;97.59
05/05/2017;99.54
08/05/2017;98.21
09/05/2017;97.65
10/05/2017;98.27
11/05/2017;98.28
12/05/2017;97.77
15/05/2017;98.8
16/05/2017;98.15
17/05/2017;97.02
18/05/2017;97.26
19/05/2017;98.88
22/05/2017;99.36
23/05/2017;98.91
24/05/2017;100.01
25/05/2017;100.93
26/05/2017;100.51
29/05/2017;#N/A N/A
30/05/2017;100.07
31/05/2017;101.73
01/06/2017;104.02
02/06/2017;104.46
05/06/2017;104.59
06/06/2017;104.17
07/06/2017;103.93
08/06/2017;103.6
09/06/2017;104.02
12/06/2017;103.82
13/06/2017;105.9
14/06/2017;105.39
15/06/2017;105.69
16/06/2017;105.62
19/06/2017;106.17
20/06/2017;103.58
21/06/2017;101.83
22/06/2017;103.33
23/06/2017;104.72
26/06/2017;104.22
27/06/2017;102.69
