fecha,hora,sec,centseg,volumen,id_orden,tipo_orden,precio
2018-01-03,09:46:15,237186,809,14,743,LMT,8.27500
2018-01-03,09:46:15,237186,809,171,757,LMT,8.27500
2018-01-03,09:47:05,239714,321,1000,800,LMT,8.28000
2018-01-03,09:47:11,240335,230,240,704,LMT,8.27000
2018-01-03,09:47:11,240335,230,49,755,LMT,8.27000
2018-01-03,09:46:11,236894,24,146,762,LMT,8.30000
2018-01-03,09:46:42,238396,11,57,762,LMT,8.30000
2018-01-03,09:47:13,240490,13,49,762,LMT,8.30000
2018-01-03,09:47:29,241989,228,248,762,LMT,8.30000
2018-01-03,09:47:11,240335,230,137,799,LMT,8.27000
2018-01-03,09:48:21,245986,343,17,799,LMT,8.27000
2018-01-03,09:48:21,245986,343,552,819,LMT,8.27000
2018-01-03,09:48:21,245991,343,217,849,LMT,8.27000
2018-01-03,09:49:07,249508,263,690,906,LMT,8.26000
2018-01-03,09:50:04,253952,496,61,913,LMT,8.26000
2018-01-03,09:50:10,254408,147,70,913,LMT,8.26000
2018-01-03,09:48:49,248255,837,162,877,LMT,8.25500
2018-01-03,09:54:09,273047,144,148,935,LMT,8.25000
2018-01-03,09:54:09,273045,143,550,798,LMT,8.25000
2018-01-03,09:54:09,273045,143,650,933,LMT,8.25000
2018-01-03,09:59:54,294272,156,535,959,LMT,8.28000
2018-01-03,10:00:12,295324,465,69,959,LMT,8.28000
2018-01-03,10:00:12,295324,465,8,992,LMT,8.28000
2018-01-03,10:17:57,370513,951,335,1032,LMT,8.30000
2018-01-03,10:17:57,370508,930,266,1032,LMT,8.30000
2018-01-03,10:17:57,370508,930,734,1013,LMT,8.30000
2018-01-03,10:30:03,417275,239,150,1082,LMT,8.30000
2018-01-03,10:30:03,417275,239,236,1084,LMT,8.30000
2018-01-03,10:30:03,417275,239,123,1083,LMT,8.30500
2018-01-03,10:33:30,433077,995,255,1118,LMT,8.29500
2018-01-03,10:37:14,452733,59,176,1113,LMT,8.32500
2018-01-03,10:31:54,423055,516,190,1108,LMT,8.31500
2018-01-03,10:37:14,452733,59,165,1108,LMT,8.31500
2018-01-03,10:37:14,452733,59,259,1072,LMT,8.32000
2018-01-03,10:37:14,452733,59,723,1104,LMT,8.32500
2018-01-03,10:38:20,458830,366,178,1144,LMT,8.30000
2018-01-03,10:38:20,458830,366,135,1145,LMT,8.30000
2018-01-03,10:38:20,458832,367,100,1154,LMT,8.30000
2018-01-03,10:33:30,433077,995,245,1121,LMT,8.29500
2018-01-03,10:38:20,458850,415,339,1121,LMT,8.29500
2018-01-03,10:38:21,459071,957,19,1121,LMT,8.29500
2018-01-03,10:38:21,459071,957,121,1122,LMT,8.29500
2018-01-03,10:38:21,459071,957,1,1130,LMT,8.29500
2018-01-03,10:38:21,459078,957,259,1194,LMT,8.29500
2018-01-03,10:38:20,458832,367,67,1161,LMT,8.30000
2018-01-03,10:38:20,458835,367,179,1161,LMT,8.30000
2018-01-03,10:38:20,458835,367,134,1167,LMT,8.30000
2018-01-03,10:51:15,514136,604,313,1241,LMT,8.31000
2018-01-03,10:51:16,514384,69,65,1251,LMT,8.31000
2018-01-03,10:51:16,514382,68,399,1251,LMT,8.31000
2018-01-03,10:40:28,470043,481,1,1206,LMT,8.28500
2018-01-03,09:54:09,273047,144,100,937,LMT,8.25000
2018-01-03,10:51:43,517965,901,153,1291,LMT,8.30500
2018-01-03,10:51:43,517963,900,123,1276,LMT,8.30500
2018-01-03,10:51:43,517963,900,603,1277,LMT,8.30500
2018-01-03,10:54:41,526660,678,900,1326,LMT,8.30500
2018-01-03,10:54:41,526664,678,513,1326,LMT,8.30500
2018-01-03,10:54:41,526664,678,470,1330,LMT,8.30500
2018-01-03,10:54:41,526666,678,943,1331,LMT,8.30500
2018-01-03,10:54:41,526666,678,40,1333,LMT,8.30500
2018-01-03,10:51:54,518887,654,170,1261,LMT,8.30000
2018-01-03,10:54:41,526668,678,983,1334,LMT,8.30500
2018-01-03,10:54:41,526673,695,390,1334,LMT,8.30500
2018-01-03,10:54:41,526673,695,647,1338,LMT,8.30500
2018-01-03,10:54:41,526687,720,478,1345,LMT,8.30500
2018-01-03,10:54:41,526693,781,155,1340,LMT,8.31500
2018-01-03,10:54:42,526749,734,299,1360,LMT,8.30500
2018-01-03,10:54:42,526749,734,290,1362,LMT,8.30500
2018-01-03,10:54:41,526655,678,836,1305,LMT,8.30500
2018-01-03,10:54:41,526657,678,577,1305,LMT,8.30500
2018-01-03,10:54:41,526657,678,323,1316,LMT,8.30500
2018-01-03,10:54:41,526660,678,83,1316,LMT,8.30500
2018-01-03,10:54:42,526749,734,305,1364,LMT,8.30500
2018-01-03,10:54:56,527454,354,162,1364,LMT,8.30500
2018-01-03,10:57:11,538166,15,34,1364,LMT,8.30500
2018-01-03,10:57:40,541810,635,153,1364,LMT,8.30500
2018-01-03,10:57:40,541810,635,311,1370,LMT,8.30500
2018-01-03,10:57:40,541810,635,231,1376,LMT,8.30500
2018-01-03,10:57:40,541843,704,141,1389,LMT,8.30500
2018-01-03,11:07:29,582611,980,187,1415,LMT,8.31000
2018-01-03,11:07:29,582603,917,64,1413,LMT,8.31500
2018-01-03,11:14:40,615306,204,349,1391,LMT,8.30500
2018-01-03,11:14:40,615306,204,43,1393,LMT,8.30500
2018-01-03,10:55:15,528610,287,643,1253,LMT,8.32000
2018-01-03,11:00:54,555832,862,245,1253,LMT,8.32000
2018-01-03,11:03:58,567697,824,40,1253,LMT,8.32000
2018-01-03,11:16:57,621827,53,615,1253,LMT,8.32000
2018-01-03,11:16:57,621827,53,370,1427,LMT,8.32000
2018-01-03,11:14:40,615306,204,593,1404,LMT,8.30500
2018-01-03,11:16:57,621827,53,107,1437,LMT,8.32000
2018-01-03,11:20:15,631842,2,122,1464,LMT,8.32000
2018-01-03,11:20:15,631829,1,176,1448,LMT,8.32000
2018-01-03,11:20:15,631831,2,74,1455,LMT,8.32000
2018-01-03,11:25:52,653054,396,1829,1484,LMT,8.32000
2018-01-03,11:25:52,653069,442,104,1484,LMT,8.32000
2018-01-03,11:25:52,653069,442,128,1489,LMT,8.32000
2018-01-03,11:25:52,653078,444,236,1489,LMT,8.32000
2018-01-03,11:25:52,653090,463,19,1503,LMT,8.32000
2018-01-03,11:25:52,653092,463,24,1503,LMT,8.32000
2018-01-03,11:25:52,653098,466,254,1503,LMT,8.32000
2018-01-03,11:25:52,653100,468,3,1503,LMT,8.32000
2018-01-03,11:25:52,653100,468,119,1505,LMT,8.32000
2018-01-03,11:25:52,653103,469,31,1505,LMT,8.32000
2018-01-03,11:25:52,653103,469,58,1510,LMT,8.32000
2018-01-03,11:25:52,653106,469,37,1510,LMT,8.32000
2018-01-03,11:25:52,653052,396,67,1474,LMT,8.32000
2018-01-03,11:25:52,653094,463,112,1501,LMT,8.32500
2018-01-03,11:35:24,695651,461,183,1535,LMT,8.31500
2018-01-03,11:35:24,695661,463,373,1522,LMT,8.31000
2018-01-03,11:35:24,695666,463,600,1547,LMT,8.31500
2018-01-03,11:35:24,695667,465,928,1550,LMT,8.31500
2018-01-03,11:35:24,695677,483,1,1563,LMT,8.31500
2018-01-03,11:26:51,657844,491,226,1488,LMT,8.31500
2018-01-03,11:29:29,668908,578,86,1488,LMT,8.31500
2018-01-03,11:31:17,677778,305,62,1488,LMT,8.31500
2018-01-03,11:35:24,695647,460,265,1488,LMT,8.31500
2018-01-03,11:35:24,695647,460,121,1500,LMT,8.31500
2018-01-03,11:35:24,695647,460,185,1524,LMT,8.31500
2018-01-03,11:35:24,695647,460,1,1525,LMT,8.31500
2018-01-03,11:35:24,695651,461,145,1532,LMT,8.31500
2018-01-03,11:37:51,704014,210,177,1441,LMT,8.30500
2018-01-03,11:35:24,695661,463,288,1529,LMT,8.31000
2018-01-03,11:35:24,695664,463,200,1529,LMT,8.31000
2018-01-03,11:37:51,704014,210,334,1529,LMT,8.31000
2018-01-03,11:37:51,704014,210,198,1569,LMT,8.31000
2018-01-03,11:37:51,704014,210,320,1570,LMT,8.31000
2018-01-03,11:37:53,704136,322,602,1609,LMT,8.30000
2018-01-03,11:37:53,704136,322,218,1616,LMT,8.30000
2018-01-03,11:37:51,704014,210,193,1571,LMT,8.31000
2018-01-03,11:37:51,704014,210,358,1578,LMT,8.31000
2018-01-03,11:37:51,704014,210,280,1580,LMT,8.31000
2018-01-03,11:16:57,621825,50,147,1406,LMT,8.30500
2018-01-03,11:22:30,640253,280,300,1406,LMT,8.30500
2018-01-03,11:37:51,704014,210,155,1406,LMT,8.30500
2018-01-03,11:48:29,743434,449,249,1606,LMT,8.31500
2018-01-03,11:48:29,743434,449,197,1623,LMT,8.31500
2018-01-03,11:50:04,749775,786,8,1637,LMT,8.31500
2018-01-03,11:50:04,749775,786,14,1626,LMT,8.31500
2018-01-03,11:55:24,766060,41,150,1651,LMT,8.30500
2018-01-03,11:55:24,766060,41,224,1656,LMT,8.30500
2018-01-03,11:55:31,766641,912,29,1656,LMT,8.30500
2018-01-03,11:55:31,766643,914,1,1658,LMT,8.30500
2018-01-03,11:55:24,766060,41,126,1644,LMT,8.30500
2018-01-03,11:55:48,768872,138,601,1632,LMT,8.32000
2018-01-03,11:55:48,768872,138,241,1648,LMT,8.32000
2018-01-03,11:55:48,768872,138,158,1659,LMT,8.32000
2018-01-03,11:37:53,704136,322,207,1617,LMT,8.30000
2018-01-03,11:42:52,723764,317,400,1617,LMT,8.30000
2018-01-03,12:01:28,796737,86,30,1679,LMT,8.32000
2018-01-03,12:01:28,796742,92,211,1679,LMT,8.32000
2018-01-03,12:01:29,796831,121,38,1690,LMT,8.32000
2018-01-03,12:01:28,796747,129,232,1686,LMT,8.32000
2018-01-03,12:01:28,796742,92,77,1686,LMT,8.32000
2018-01-03,11:55:31,766643,914,41,1660,LMT,8.30500
2018-01-03,12:01:30,796925,665,43,1696,LMT,8.32000
2018-01-03,12:01:31,796960,934,4,1702,LMT,8.32000
2018-01-03,12:06:25,815330,587,242,1665,LMT,8.30500
2018-01-03,12:06:25,815330,587,343,1666,LMT,8.30500
2018-01-03,12:06:25,815332,588,43,1675,LMT,8.30500
2018-01-03,12:06:25,815332,588,409,1680,LMT,8.30500
2018-01-03,12:06:25,815332,588,188,1687,LMT,8.30500
2018-01-03,12:06:25,815332,588,602,1710,LMT,8.30500
2018-01-03,12:06:25,815337,588,1173,1720,LMT,8.30500
2018-01-03,12:06:39,816000,593,160,1744,LMT,8.31500
2018-01-03,12:06:41,816141,832,126,1757,LMT,8.31500
2018-01-03,12:06:41,816144,875,274,1757,LMT,8.31500
2018-01-03,12:07:18,817646,311,270,1728,LMT,8.32000
2018-01-03,12:07:23,817982,108,152,1734,LMT,8.30500
2018-01-03,12:12:51,841301,223,244,1736,LMT,8.30500
2018-01-03,12:07:18,817646,311,200,1730,LMT,8.32000
2018-01-03,12:12:51,841328,935,44,1730,LMT,8.32000
2018-01-03,12:12:51,841301,223,314,1735,LMT,8.30500
2018-01-03,12:12:51,841328,935,148,1747,LMT,8.32000
2018-01-03,12:13:00,841717,104,57,1747,LMT,8.32000
2018-01-03,12:13:00,841717,104,627,1755,LMT,8.32000
2018-01-03,12:13:00,841717,104,140,1786,LMT,8.32000
2018-01-03,12:18:05,860182,87,1,1814,LMT,8.31500
2018-01-03,12:18:00,859946,766,109,1805,LMT,8.32000
2018-01-03,12:18:27,861646,36,13,1823,LMT,8.31500
2018-01-03,12:22:33,874054,210,140,1791,LMT,8.31000
2018-01-03,12:26:07,890831,803,5,1907,LMT,8.33500
2018-01-03,12:26:04,890441,395,222,1833,LMT,8.32000
2018-01-03,12:26:04,890441,395,631,1848,LMT,8.32000
2018-01-03,12:26:05,890600,237,188,1165,LMT,8.33000
2018-01-03,12:26:05,890600,237,82,1860,LMT,8.33000
2018-01-03,12:26:05,890630,426,11,1865,LMT,8.33500
2018-01-03,12:26:05,890641,480,114,1865,LMT,8.33500
2018-01-03,12:26:05,890642,482,119,1877,LMT,8.33500
2018-01-03,12:26:06,890726,986,1,1877,LMT,8.33500
2018-01-03,12:26:11,891240,460,231,1916,LMT,8.33500
2018-01-03,12:29:38,902602,578,650,1909,LMT,8.32000
2018-01-03,12:29:38,902602,578,601,1925,LMT,8.32000
2018-01-03,12:29:38,902602,578,98,1927,LMT,8.32000
2018-01-03,12:29:38,902602,578,271,1930,LMT,8.32000
2018-01-03,12:29:41,902761,119,122,1956,LMT,8.32000
2018-01-03,12:29:41,902761,119,123,1957,LMT,8.32000
2018-01-03,12:29:41,902761,119,230,1958,LMT,8.32000
2018-01-03,12:29:41,902761,119,29,1963,LMT,8.32000
2018-01-03,12:29:38,902602,578,121,1876,LMT,8.32000
2018-01-03,12:29:38,902602,578,121,1878,LMT,8.32000
2018-01-03,12:31:24,908583,560,122,1918,LMT,8.33500
2018-01-03,12:31:23,908515,261,314,1970,LMT,8.32000
2018-01-03,12:31:23,908515,261,270,1971,LMT,8.32000
2018-01-03,12:31:23,908515,261,328,1972,LMT,8.32000
2018-01-03,12:31:23,908515,261,230,1973,LMT,8.32000
2018-01-03,12:31:23,908515,261,297,1974,LMT,8.32000
2018-01-03,12:31:23,908515,261,218,1975,LMT,8.32000
2018-01-03,12:29:41,902765,121,256,1964,LMT,8.32000
2018-01-03,12:31:23,908514,260,343,1964,LMT,8.32000
